Month,Sales
2018-01,2436495
2018-02,1469679
2018-03,2144088
2018-04,1881043
2018-05,1887345
2018-06,1832738
2018-07,1606226
2018-08,1760037
2018-09,2020341
2018-10,2065301
2018-11,2190667
2018-12,2258922
2019-01,2074406
2019-02,1236955
2019-03,2012269
2019-04,1581971
2019-05,1595926
2019-06,1725907
2019-07,1545137
2019-08,1673963
2019-09,1936843
2019-10,1936295
2019-11,2046427
2019-12,2211786
2020-01,1596470
2020-02,216763
2020-03,1020824
2020-04,1506966
2020-05,1669615
2020-06,1742273
2020-07,1653885
2020-08,1745575
2020-09,2023809
2020-10,2042880
2020-11,2222702
2020-12,2307806
2021-01,1968328
2021-02,1115579
2021-03,1814016
2021-04,1666524
2021-05,1612812
2021-06,1501856
2021-07,1479454
2021-08,1526076
2021-09,1705206
2021-10,1961017
2021-11,2164644
2021-12,2324662
2022-01,2140050
2022-02,1451381
2022-03,1819813
2022-04,942539
2022-05,1577056
2022-06,2165958
2022-07,2125896
2022-08,2219832
2022-09,2275494
2022-10,2172374
2022-11,2007402
2022-12,2190865
2023-01,1295097
2023-02,1396501
2023-03,1593454
2023-04,1635995
2023-05,1685966
2023-06,1884377
2023-07,1781580
2023-08,1922495
2023-09,2019445
2023-10,2032470
2023-11,2077133
2023-12,2360143
2024-01,2034527
2024-02,1111541
2024-03,1691118
2024-04,1541842
